device_os,amt,gender,city,job,category,age_category,transactions_count,unique_merchants_count,time_since_last,day_of_week_sin,day_of_week_cos,period_of_day_sin,period_of_day_cos
macOS,0.611684537528811,M,Houston,Nurse,Groceries,Young Adult,0,1,0.0273560024704584,0.722520933956314,5.55111512312578e-17,0.5,1
Windows,0.281912015231987,M,Los Angeles,Artist,Groceries,Middle Age,0,1,0.17429200677201,0,0.356895867892209,0.5,1
macOS,0.732838961819822,F,Phoenix,Nurse,Apparel,Middle Age,0,1,0.233138345504371,0,0.356895867892209,0.5,0
macOS,0.742238701272673,M,Phoenix,Lawyer,Groceries,Young Adult,0,1,0.0961778794152574,0.722520933956314,5.55111512312578e-17,0,0.5
macOS,0.40903898186191,M,Test City,Lawyer,Groceries,Middle Age,0,1,0.000126625327122454,1,0.35689586789221,0.5,0
X11,0.683455256037679,M,Phoenix,Engineer,Groceries,Middle Age,0,1,0.0280725062355808,0.5,1,0,0.5
macOS,0.813327988776431,M,Test City,Doctor,Groceries,Adult,0,1,0.0115942685094277,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.0556969636236096,F,New York,Doctor,Travel,Middle Age,0,1,0.101177893747019,0.277479066043686,0,0.5,0
macOS,0.694959414771019,F,Test City,Teacher,Apparel,Middle Age,0.333333333333333,1,0.00050662776520798,0,0.356895867892209,0.5,1
Windows,0.348251327788356,F,Los Angeles,Lawyer,Travel,Middle Age,0,1,0.248169117482169,0.5,1,0.5,1
Linux,0.771359855696964,M,Test City,Teacher,Groceries,Young Adult,0,1,0.00296869791563921,0.0990311320975808,0.801937735804838,1,0.5
Windows,0.882613488325483,F,Houston,Artist,Groceries,Adult,0,1,0.0055159155896348,0.722520933956314,5.55111512312578e-17,0,0.5
other,0.813348030864816,F,Test City,Teacher,Apparel,Middle Age,0.444444444444444,1,0.0127993588812998,0.277479066043686,0,0.5,0
macOS,0.325523599559074,F,Test City,Clerk,Electronics,Middle Age,0.111111111111111,1,0.00732074802352365,1,0.35689586789221,0.5,1
X11,0.0613688746367372,F,Test City,Lawyer,Electronics,Young Adult,0,1,0.0102453125445233,0.5,1,0.5,1
macOS,0.995851287704179,M,Test City,Doctor,Apparel,Adult,0,1,0.00821884363593077,0.900968867902419,0.801937735804838,1,0.5
macOS,0.757350435915422,M,Test City,Lawyer,Electronics,Adult,0.111111111111111,1,0.00157012876497479,0,0.356895867892209,0.5,1
other,0.383946287203127,M,Phoenix,Lawyer,Electronics,Adult,0,1,0.228689429550372,0.5,1,1,0.5
Windows,0.135504559575108,M,Test City,Clerk,Apparel,Adult,0,1,0.00474903989844345,0.0990311320975808,0.801937735804838,0.5,1
X11,0.064355145806193,M,Test City,Doctor,Travel,Adult,0.333333333333333,1,0.0107462919096533,1,0.35689586789221,0.5,0
other,0.924701873935264,F,Chicago,Clerk,Apparel,Adult,0,1,0.0744790025363846,0,0.356895867892209,0.5,1
X11,0.378915723018339,M,Test City,Doctor,Entertainment,Middle Age,0.111111111111111,1,0.000572385258653728,1,0.35689586789221,0.5,1
other,0.543461268664195,M,Test City,Clerk,Apparel,Middle Age,0.111111111111111,1,0.00279123698781446,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.573804990480008,M,Test City,Engineer,Groceries,Adult,0.444444444444444,1,0.00027972226058076,0.5,1,0,0.5
Windows,0.460867822427097,F,Chicago,Nurse,Electronics,Adult,0,1,0.0732279662235792,0.900968867902419,0.801937735804838,0.5,1
other,0.762100410862812,M,Test City,Teacher,Apparel,Middle Age,0.222222222222222,1,0.00782724933201346,0.277479066043686,0,0.5,1
other,0.406974646758192,F,Test City,Clerk,Electronics,Adult,0.222222222222222,1,0.00155276204234681,0.0990311320975808,0.801937735804838,0,0.5
X11,0.996352339913819,M,Test City,Lawyer,Travel,Middle Age,0.111111111111111,1,0.0149375733765107,0.722520933956314,5.55111512312578e-17,0.5,0
Windows,0.834071550255537,M,Test City,Clerk,Apparel,Middle Age,0,1,0.0108435792781614,0.0990311320975808,0.801937735804838,0.5,1
macOS,0.308848582022247,M,Test City,Engineer,Groceries,Adult,0,1,0.00404442306482863,0.900968867902419,0.801937735804838,0,0.5
Linux,0.374967431606373,M,Test City,Doctor,Entertainment,Adult,0.111111111111111,1,0.00366610671631863,0.277479066043686,0,0.5,0
Linux,0.487122958212246,F,Test City,Engineer,Electronics,Adult,0.111111111111111,1,0.00344982357601726,1,0.35689586789221,0,0.5
Windows,0.750896883455256,F,Test City,Teacher,Groceries,Middle Age,0,1,0.00500439816465778,1,0.35689586789221,1,0.5
macOS,0.911173464274977,F,Chicago,Nurse,Electronics,Middle Age,0,1,0.521323005360247,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.0279787553863113,F,Test City,Doctor,Apparel,Adult,0,1,0.0101597013463257,0.0990311320975808,0.801937735804838,1,0.5
Windows,0.172041286702074,F,Test City,Clerk,Entertainment,Middle Age,0.111111111111111,1,0.00280898308059694,0.722520933956314,5.55111512312578e-17,1,0.5
Windows,0.717627016735144,M,Los Angeles,Teacher,Apparel,Young Adult,0,1,0.107977302873788,0.5,1,0,0.5
Windows,0.112656578815513,F,Test City,Lawyer,Electronics,Young Adult,0,1,0.0074679014912282,0.277479066043686,0,0.5,1
other,0.41593346026656,F,Test City,Teacher,Apparel,Middle Age,0.222222222222222,1,0.00525933490847821,0,0.356895867892209,0.5,0
Windows,0.609900791662491,F,Test City,Doctor,Apparel,Middle Age,0,1,0.00346655801505442,1,0.35689586789221,1,0.5
Windows,0.0578013829040986,F,Houston,Lawyer,Travel,Adult,0,0.97,0,0.900968867902419,0.801937735804838,1,0.5
macOS,0.393165647860507,M,Test City,Doctor,Electronics,Adult,0,1,0.00488384276000724,0.5,1,1,0.5
other,0.756147910612286,M,Test City,Clerk,Groceries,Adult,0,1,0.00343283622354378,1,0.35689586789221,0,0.5
macOS,0.875398336506664,F,Test City,Clerk,Travel,Middle Age,0.111111111111111,1,0.00280266024468869,1,0.35689586789221,1,0.5
other,0.081511173464275,M,Test City,Lawyer,Electronics,Middle Age,0,1,0.0091871648791588,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.379316564786051,F,Test City,Lawyer,Groceries,Middle Age,0.222222222222222,1,0.00993536712830113,1,0.35689586789221,1,0.5
X11,0.674235895380299,F,Test City,Lawyer,Travel,Adult,0.222222222222222,1,0.00817003134271912,1,0.35689586789221,0,0.5
macOS,0.961920032067341,M,Test City,Doctor,Groceries,Middle Age,0,1,0.0136038765222649,0.0990311320975808,0.801937735804838,0.5,1
macOS,0.345625814209841,F,Houston,Lawyer,Apparel,Adult,0,1,0.00301864831931434,0.0990311320975808,0.801937735804838,0,0.5
macOS,0.267922637538831,F,Test City,Lawyer,Travel,Young Adult,0,1,0.0346785208880364,1,0.35689586789221,0,0.5
macOS,0.771620402845977,F,Test City,Lawyer,Electronics,Adult,0,1,0.0017870020366276,0,0.356895867892209,0.5,0
macOS,0.973925243010322,M,Test City,Engineer,Entertainment,Adult,0,1,0.00952438279426521,0.722520933956314,5.55111512312578e-17,0.5,1
other,0.878043892173564,M,Test City,Clerk,Entertainment,Middle Age,0.111111111111111,1,0.00206019070010317,0.900968867902419,0.801937735804838,0.5,1
Windows,0.192203627617998,M,Test City,Doctor,Apparel,Young Adult,0,1,0.00669360700590452,0.900968867902419,0.801937735804838,0.5,0
Linux,0.326926545746067,F,New York,Doctor,Entertainment,Adult,0,1,0.212751330619741,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.324100611283696,F,Test City,Engineer,Groceries,Middle Age,0,1,0.00741263990539014,0,0.356895867892209,0.5,0
Windows,0.0745164846176972,F,New York,Teacher,Electronics,Adult,0,1,0.0934897046527473,1,0.35689586789221,1,0.5
Windows,0.295340214450346,F,Test City,Teacher,Electronics,Middle Age,0.111111111111111,1,0.00130397952547707,1,0.35689586789221,0,0.5
macOS,0.109850686441527,F,Test City,Clerk,Groceries,Middle Age,0.333333333333333,1,0.000184921874196473,0.277479066043686,0,1,0.5
Linux,0.496542739753482,F,Test City,Doctor,Apparel,Middle Age,0.333333333333333,1,0.00654421946951238,0.277479066043686,0,0.5,1
other,0.137188094999499,F,Test City,Teacher,Travel,Middle Age,0,1,0.000891309101865608,0.5,1,0,0.5
other,0.11307746267161,M,Houston,Clerk,Electronics,Adult,0,1,0.0224508728295601,0.5,1,0.5,1
macOS,0.27970738550957,F,Test City,Engineer,Groceries,Middle Age,0,1,0.0109267456464746,1,0.35689586789221,1,0.5
Windows,0.115382302835956,F,Test City,Teacher,Electronics,Middle Age,0.111111111111111,1,0.00566298475286058,0.0990311320975808,0.801937735804838,0.5,1
Windows,0.52704679827638,M,Test City,Doctor,Apparel,Adult,0.111111111111111,1,0.00305435126607623,0.277479066043686,0,0.5,0
other,0.28103016334302,F,New York,Engineer,Electronics,Adult,0,1,0.0561609460176503,0.0990311320975808,0.801937735804838,0,0.5
Windows,0.905441426996693,F,Los Angeles,Artist,Groceries,Middle Age,0,1,0.00858236454841547,0.0990311320975808,0.801937735804838,0,0.5
macOS,0.142819921835855,M,New York,Doctor,Apparel,Middle Age,0,1,0.0122765868084061,0,0.356895867892209,0,0.5
Linux,0.105441426996693,F,Phoenix,Clerk,Electronics,Middle Age,0,1,0.075962466297177,0.0990311320975808,0.801937735804838,0.5,1
Windows,0.99867722216655,F,New York,Doctor,Electronics,Young Adult,0,1,0.00152401421508399,0.722520933956314,5.55111512312578e-17,0.5,1
other,0.831786752179577,F,Test City,Teacher,Travel,Middle Age,0,1,0.00157889643076756,0,0.356895867892209,1,0.5
Windows,0.895861308748372,F,Chicago,Artist,Travel,Middle Age,0,1,0.0893339153714548,0.5,1,0.5,1
macOS,0.66048702274777,M,New York,Lawyer,Groceries,Middle Age,0,1,0.0459838357964573,1,0.35689586789221,1,0.5
macOS,0.345705982563383,F,Test City,Engineer,Electronics,Adult,0.111111111111111,1,0.00186468861382024,1,0.35689586789221,1,0.5
Windows,0.228339512977252,F,Test City,Doctor,Electronics,Adult,0.111111111111111,1,0.00208708382883291,0,0.356895867892209,0.5,0
Windows,0.825453452249724,M,Test City,Lawyer,Apparel,Young Adult,0.222222222222222,1,0.00236082047142053,0.277479066043686,0,0.5,1
other,0.330193406152921,F,Test City,Doctor,Groceries,Adult,0,1,0.00103264556053458,0.722520933956314,5.55111512312578e-17,0.5,1
macOS,0.899689347630023,M,Test City,Teacher,Electronics,Young Adult,0,1,0.00113132395294259,0.5,1,0.5,1
macOS,0.228239302535324,M,Test City,Doctor,Apparel,Adult,0,1,0.00891098340668666,0.5,1,1,0.5
Windows,0.844252931155426,F,Chicago,Artist,Travel,Adult,0,1,0.311855587102291,0.722520933956314,5.55111512312578e-17,0,0.5
macOS,0.577592945184888,M,Test City,Clerk,Electronics,Middle Age,0.333333333333333,1,0.0129424657340231,0.722520933956314,5.55111512312578e-17,0.5,1
other,0.182002204629722,M,Test City,Lawyer,Travel,Adult,0.222222222222222,1,0.000450017307709493,0.5,1,0.5,1
macOS,0.163623609580118,F,Test City,Lawyer,Travel,Young Adult,0.111111111111111,1,0.00237043118200106,0,0.356895867892209,0.5,0
macOS,0.696442529311554,M,Test City,Engineer,Apparel,Middle Age,0.111111111111111,1,0.00999332645746004,0.722520933956314,5.55111512312578e-17,0.5,1
Linux,0.506283194708889,M,Test City,Lawyer,Travel,Young Adult,0,1,0.00758580130479728,0.0990311320975808,0.801937735804838,0.5,1
macOS,0.0728730333700772,M,New York,Artist,Electronics,Middle Age,0,1,0.021580681999628,0.722520933956314,5.55111512312578e-17,0.5,0
macOS,0.00909910812706684,M,Test City,Engineer,Travel,Adult,0.111111111111111,1,0.00326620842124183,1,0.35689586789221,0.5,1
macOS,0.880308648161138,F,New York,Lawyer,Groceries,Young Adult,0,1,0.186132570816184,0.0990311320975808,0.801937735804838,0.5,1
other,0.882954203828039,F,Test City,Clerk,Travel,Young Adult,0,1,0.000832295966721987,0.0990311320975808,0.801937735804838,0,0.5
other,0.861469085078665,F,Houston,Engineer,Apparel,Young Adult,0,1,0.124660695549044,0.900968867902419,0.801937735804838,0.5,0
Windows,0.252830944984467,F,New York,Clerk,Groceries,Adult,0,1,0.000626045059395034,0.5,1,1,0.5
Windows,0.887042789858703,F,Test City,Doctor,Travel,Middle Age,0,1,0.00524512960380436,1,0.35689586789221,0.5,0
X11,0.107425593746868,F,Los Angeles,Clerk,Travel,Middle Age,0,1,0.00106973953119628,0.5,1,0.5,0
macOS,0.464355145806193,M,New York,Engineer,Travel,Young Adult,0,1,0.140435876074439,0.5,1,1,0.5
Windows,0.900591241607375,M,Test City,Teacher,Apparel,Middle Age,0,1,0.00785372093834931,1,0.35689586789221,1,0.5
Linux,0.720072151518188,M,Test City,Teacher,Apparel,Adult,0.111111111111111,1,0.00222842028750188,0.277479066043686,0,1,0.5
macOS,0.110973043391121,M,Houston,Artist,Electronics,Adult,0,1,0.017117729349913,0.277479066043686,0,1,0.5
other,0.36023649664295,M,Test City,Clerk,Electronics,Adult,0.111111111111111,1,0.00288237012937197,0.5,1,1,0.5
macOS,0.450105220964024,F,Chicago,Clerk,Groceries,Middle Age,0,0.83,0,0.0990311320975808,0.801937735804838,0.5,1
other,0.437659084076561,M,Test City,Lawyer,Entertainment,Middle Age,0,1,0.00474587848048933,0.277479066043686,0,0.5,1
other,0.228399639242409,M,Los Angeles,Engineer,Groceries,Adult,0,1,0.0643042106883579,0.277479066043686,0,0.5,1
Windows,0.903717807395531,M,Test City,Clerk,Apparel,Middle Age,0.111111111111111,1,0.00068096942731799,0.0990311320975808,0.801937735804838,0.5,1
Windows,0.67591943080469,F,Test City,Lawyer,Apparel,Adult,0.444444444444444,1,0.00764902966387973,0.277479066043686,0,0,0.5
macOS,0.842509269465878,M,Test City,Engineer,Groceries,Young Adult,0.222222222222222,1,0.00188369927378436,0,0.356895867892209,1,0.5
other,0.498085980559174,M,Test City,Lawyer,Electronics,Middle Age,0.333333333333333,1,0.0184053538065074,0.277479066043686,0,1,0.5
Windows,0.889988976851388,F,Test City,Teacher,Groceries,Middle Age,0,1,0.000496848445669894,0.0990311320975808,0.801937735804838,0,0.5
Linux,0.950656378394629,M,Phoenix,Clerk,Electronics,Adult,0,1,0.0431235534405248,0.277479066043686,0,1,0.5
other,0.905341216554765,F,Test City,Lawyer,Electronics,Middle Age,0.333333333333333,1,0.0143529639684344,0.277479066043686,0,0,0.5
X11,0.878023850085179,F,New York,Artist,Apparel,Adult,0.111111111111111,1,0.032217631000308,0.900968867902419,0.801937735804838,0.5,1
Windows,0.414510471991181,M,Test City,Engineer,Entertainment,Young Adult,0,1,0.00870650289341402,0.5,1,0,0.5
macOS,0.210401843872131,M,Test City,Engineer,Groceries,Adult,0.222222222222222,1,0.0123231228806908,0.0990311320975808,0.801937735804838,0,0.5
other,0.320112235694959,F,Test City,Lawyer,Apparel,Young Adult,0,1,0.0029737561843658,0.277479066043686,0,0.5,1
macOS,0.343641647459665,F,Test City,Clerk,Travel,Adult,0,1,0.0189470943871258,0.5,1,0.5,1
other,0.231446036677022,M,Test City,Doctor,Groceries,Adult,0.111111111111111,1,0.00521402125113579,0.722520933956314,5.55111512312578e-17,0.5,1
Windows,0.488606072752781,M,Los Angeles,Clerk,Electronics,Adult,0,1,0.119747430525944,0.900968867902419,0.801937735804838,0.5,1
Windows,0.589437819420784,F,Test City,Clerk,Electronics,Young Adult,0.111111111111111,1,0.000928824594921195,0.900968867902419,0.801937735804838,0,0.5
other,0.947609980960016,F,Chicago,Clerk,Groceries,Adult,0,1,0.0973540955031485,0.722520933956314,5.55111512312578e-17,1,0.5
X11,0.849263453251829,F,Phoenix,Lawyer,Electronics,Adult,0,1,0.159115472350407,0.722520933956314,5.55111512312578e-17,1,0.5
