device_os,amt,gender,city,job,category,age_category,transactions_count,unique_merchants_count,time_since_last,day_of_week_sin,day_of_week_cos,period_of_day_sin,period_of_day_cos
macOS,0.6116845375288106,M,Houston,Nurse,Groceries,Young Adult,0.0,1.0,0.027356002470458447,0.7225209339563144,5.551115123125783e-17,0.5,1.0
,0.28191201523198717,M,Los Angeles,Artist,Groceries,Middle Age,0.0,1.0,0.17429200677201018,0.0,0.3568958678922094,0.5,1.0
macOS,0.7328389618198217,F,Phoenix,Nurse,Apparel,Middle Age,0.0,1.0,0.23313834550437093,0.0,0.3568958678922094,0.5000000000000001,0.0
,0.7422387012726727,M,Phoenix,Lawyer,Groceries,Young Adult,0.0,1.0,0.09617787941525739,0.7225209339563144,5.551115123125783e-17,0.0,0.4999999999999999
macOS,0.40903898186191,M,Test City,Lawyer,Groceries,Middle Age,0.0,1.0,0.00012662532712245377,1.0,0.3568958678922095,0.5000000000000001,0.0
,0.6834552560376791,M,Phoenix,Engineer,Groceries,Middle Age,0.0,1.0,0.028072506235580774,0.5,1.0,0.0,0.4999999999999999
,0.8133279887764305,M,Test City,Doctor,Groceries,Adult,0.0,1.0,0.011594268509427685,0.0990311320975808,0.8019377358048383,0.0,0.4999999999999999
,0.055696963623609576,F,New York,Doctor,Travel,Middle Age,0.0,1.0,0.10117789374701879,0.27747906604368566,0.0,0.5000000000000001,0.0
,0.6949594147710191,F,Test City,Teacher,Apparel,Middle Age,0.3333333333333333,1.0,0.00050662776520798,0.0,0.3568958678922094,0.5,1.0
,0.34825132778835555,F,Los Angeles,Lawyer,Travel,Middle Age,0.0,1.0,0.2481691174821692,0.5,1.0,0.5,1.0
Linux,0.7713598556969636,M,Test City,Teacher,Groceries,Young Adult,0.0,1.0,0.0029686979156392057,0.0990311320975808,0.8019377358048383,1.0,0.5
,0.8826134883254835,F,Houston,Artist,Groceries,Adult,0.0,1.0,0.005515915589634798,0.7225209339563144,5.551115123125783e-17,0.0,0.4999999999999999
other,0.8133480308648161,F,Test City,Teacher,Apparel,Middle Age,0.4444444444444445,1.0,0.0127993588812998,0.27747906604368566,0.0,0.5000000000000001,0.0
macOS,0.325523599559074,F,Test City,Clerk,Electronics,Middle Age,0.1111111111111111,1.0,0.007320748023523648,1.0,0.3568958678922095,0.5,1.0
X11,0.06136887463673715,F,Test City,Lawyer,Electronics,Young Adult,0.0,1.0,0.010245312544523303,0.5,1.0,0.5,1.0
,0.9958512877041787,M,Test City,Doctor,Apparel,Adult,0.0,1.0,0.008218843635930772,0.9009688679024191,0.8019377358048384,1.0,0.5
,0.7573504359154224,M,Test City,Lawyer,Electronics,Adult,0.1111111111111111,1.0,0.0015701287649747939,0.0,0.3568958678922094,0.5,1.0
,0.38394628720312657,M,Phoenix,Lawyer,Electronics,Adult,0.0,1.0,0.2286894295503722,0.5,1.0,1.0,0.5
,0.1355045595751077,M,Test City,Clerk,Apparel,Adult,0.0,1.0,0.0047490398984434525,0.0990311320975808,0.8019377358048383,0.5,1.0
,0.064355145806193,M,Test City,Doctor,Travel,Adult,0.3333333333333333,1.0,0.01074629190965325,1.0,0.3568958678922095,0.5000000000000001,0.0
other,0.924701873935264,F,Chicago,Clerk,Apparel,Adult,0.0,1.0,0.07447900253638455,0.0,0.3568958678922094,0.5,1.0
,0.37891572301833853,M,Test City,Doctor,Entertainment,Middle Age,0.1111111111111111,1.0,0.0005723852586537283,1.0,0.3568958678922095,0.5,1.0
,0.5434612686641949,M,Test City,Clerk,Apparel,Middle Age,0.1111111111111111,1.0,0.002791236987814462,0.0990311320975808,0.8019377358048383,0.0,0.4999999999999999
Windows,0.573804990480008,M,Test City,Engineer,Groceries,Adult,0.4444444444444445,1.0,0.0002797222605807601,0.5,1.0,0.0,0.4999999999999999
Windows,0.4608678224270969,F,Chicago,Nurse,Electronics,Adult,0.0,1.0,0.07322796622357919,0.9009688679024191,0.8019377358048384,0.5,1.0
,0.7621004108628119,M,Test City,Teacher,Apparel,Middle Age,0.2222222222222222,1.0,0.007827249332013463,0.27747906604368566,0.0,0.5,1.0
other,0.4069746467581922,F,Test City,Clerk,Electronics,Adult,0.2222222222222222,1.0,0.001552762042346814,0.0990311320975808,0.8019377358048383,0.0,0.4999999999999999
X11,0.996352339913819,M,Test City,Lawyer,Travel,Middle Age,0.1111111111111111,1.0,0.014937573376510716,0.7225209339563144,5.551115123125783e-17,0.5000000000000001,0.0
,0.8340715502555367,M,Test City,Clerk,Apparel,Middle Age,0.0,1.0,0.010843579278161448,0.0990311320975808,0.8019377358048383,0.5,1.0
macOS,0.3088485820222467,M,Test City,Engineer,Groceries,Adult,0.0,1.0,0.004044423064828627,0.9009688679024191,0.8019377358048384,0.0,0.4999999999999999
Linux,0.37496743160637336,M,Test City,Doctor,Entertainment,Adult,0.1111111111111111,1.0,0.0036661067163186326,0.27747906604368566,0.0,0.5000000000000001,0.0
Linux,0.48712295821224566,F,Test City,Engineer,Electronics,Adult,0.1111111111111111,1.0,0.003449823576017264,1.0,0.3568958678922095,0.0,0.4999999999999999
,0.7508968834552561,F,Test City,Teacher,Groceries,Middle Age,0.0,1.0,0.0050043981646577754,1.0,0.3568958678922095,1.0,0.5
macOS,0.9111734642749774,F,Chicago,Nurse,Electronics,Middle Age,0.0,1.0,0.5213230053602473,0.0990311320975808,0.8019377358048383,0.0,0.4999999999999999
,0.027978755386311255,F,Test City,Doctor,Apparel,Adult,0.0,1.0,0.010159701346325664,0.0990311320975808,0.8019377358048383,1.0,0.5
,0.17204128670207433,F,Test City,Clerk,Entertainment,Middle Age,0.1111111111111111,1.0,0.0028089830805969364,0.7225209339563144,5.551115123125783e-17,1.0,0.5
Windows,0.7176270167351438,M,Los Angeles,Teacher,Apparel,Young Adult,0.0,1.0,0.10797730287378794,0.5,1.0,0.0,0.4999999999999999
,0.11265657881551257,F,Test City,Lawyer,Electronics,Young Adult,0.0,1.0,0.007467901491228204,0.27747906604368566,0.0,0.5,1.0
