device_os,amt,trans_num,gender,city,job,category,age_category,transactions_count,unique_merchants_count,time_since_last,day_of_week_sin,day_of_week_cos,period_of_day_sin,period_of_day_cos
,239.5,TRANS_562271,F,Test City,Teacher,Travel,Middle Age,2,101,5191.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
X11,198.48,TRANS_506309,F,Test City,Lawyer,Electronics,Adult,1,101,4516.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
other,33.61,TRANS_587342,F,Los Angeles,Lawyer,Electronics,Middle Age,1,101,0.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,276.18,TRANS_803320,M,Test City,Lawyer,Entertainment,Adult,2,101,59809.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
,226.01,TRANS_473213,M,Test City,Clerk,Electronics,Middle Age,3,101,168793.0,0.0,1.0,-1.0,-1.8369701987210297e-16
Windows,178.35,TRANS_545737,M,Test City,Clerk,Entertainment,Adult,1,101,21045.0,0.0,1.0,1.0,6.123233995736766e-17
X11,80.48,TRANS_518183,M,Test City,Doctor,Travel,Middle Age,1,101,550549.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
,169.8,TRANS_208159,F,Los Angeles,Artist,Groceries,Middle Age,1,95,0.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,497.83,TRANS_344014,M,New York,Lawyer,,Adult,1,101,748333.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
,2.66,TRANS_376981,M,Test City,Clerk,Entertainment,Middle Age,1,101,317732.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
,57.27,TRANS_507598,M,Test City,Teacher,Travel,Middle Age,2,101,109342.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
,327.2,TRANS_210413,F,Chicago,Lawyer,Travel,Adult,1,101,590335.0,0.0,1.0,1.2246467991473532e-16,-1.0
,412.68,TRANS_194281,M,Test City,Clerk,Groceries,Middle Age,1,101,162566.0,0.0,1.0,0.0,1.0
,209.33,TRANS_739459,M,Test City,Lawyer,Travel,Middle Age,3,101,64861.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
,268.24,TRANS_583340,F,Test City,Teacher,Entertainment,Middle Age,1,101,276215.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
Windows,264.05,TRANS_685984,M,Test City,Doctor,Travel,Young Adult,1,101,25935.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
,241.08,TRANS_925337,F,Los Angeles,Nurse,Apparel,Middle Age,1,101,330198.0,0.0,1.0,0.0,1.0
X11,322.31,TRANS_694831,F,Houston,Artist,Electronics,Adult,1,101,2558642.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
macOS,167.16,TRANS_743193,M,Test City,Doctor,Travel,Middle Age,1,101,83516.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
,64.3,TRANS_612365,M,Test City,Clerk,Groceries,Middle Age,2,101,248121.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
macOS,108.42,TRANS_622985,M,Los Angeles,Nurse,Apparel,Young Adult,1,101,713151.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
macOS,392.61,TRANS_178152,M,Test City,Clerk,Travel,Adult,1,101,21041.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
,194.6,TRANS_299796,M,Los Angeles,Lawyer,Groceries,Middle Age,1,101,1717024.0,0.0,1.0,0.0,1.0
other,65.19,TRANS_901192,F,Test City,Doctor,Travel,Adult,3,101,126185.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
,412.43,TRANS_154322,F,New York,Nurse,Travel,Young Adult,1,101,5607115.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
other,364.46,TRANS_768938,M,Chicago,Clerk,Apparel,Adult,1,101,2000382.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
,65.31,TRANS_565858,F,Phoenix,Artist,Apparel,Adult,1,101,2588473.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
Windows,428.6,TRANS_516351,F,Test City,Doctor,Groceries,Middle Age,2,101,25450.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
,488.3,TRANS_234208,M,Test City,Lawyer,Travel,Young Adult,3,101,4315.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,190.3,TRANS_636659,M,Test City,Lawyer,Groceries,Adult,4,101,15891.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
,7.31,TRANS_948026,F,Test City,Teacher,Groceries,Middle Age,1,101,56876.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
macOS,81.39,TRANS_977362,F,Los Angeles,Doctor,Groceries,Young Adult,1,101,0.0,0.7818314824680298,0.6234898018587336,0.0,1.0
,304.9,TRANS_885052,M,Test City,Clerk,Apparel,Middle Age,1,101,26662.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
,311.96,TRANS_141974,M,Test City,Clerk,Groceries,Adult,1,101,327589.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
,483.22,TRANS_250797,F,Test City,Clerk,Groceries,Adult,1,101,162698.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,65.1,TRANS_908826,F,Test City,Lawyer,Groceries,Middle Age,1,101,193768.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
macOS,49.75,TRANS_504356,M,Test City,Engineer,Entertainment,Adult,2,101,60133.0,0.0,1.0,1.2246467991473532e-16,-1.0
,337.31,TRANS_279285,F,Test City,Clerk,Groceries,Adult,3,101,117147.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
,474.81,TRANS_372332,F,New York,Artist,Travel,Middle Age,1,101,2690281.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
,407.25,TRANS_945452,M,Phoenix,Artist,Travel,Young Adult,1,101,639563.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
,378.3,TRANS_101696,M,Test City,Clerk,Groceries,Adult,1,101,81439.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
,142.6,TRANS_816510,M,Test City,Lawyer,Groceries,Middle Age,4,101,240275.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
other,175.61,TRANS_962652,M,Test City,Lawyer,Groceries,Young Adult,1,101,47378.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
Windows,288.25,TRANS_463548,M,Test City,Doctor,Apparel,Young Adult,1,101,328.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,479.27,TRANS_310401,M,Test City,Teacher,Electronics,Middle Age,3,101,51967.0,0.0,1.0,1.2246467991473532e-16,-1.0
other,341.85,TRANS_727453,M,Phoenix,Doctor,Travel,Adult,1,95,0.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
Windows,43.28,TRANS_498431,M,Test City,Doctor,Entertainment,Adult,1,101,73086.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
Linux,243.56,TRANS_786425,F,Test City,Clerk,Travel,Young Adult,3,101,116868.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16
other,294.26,TRANS_794288,F,Test City,Teacher,Groceries,Adult,2,101,119014.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
,270.81,TRANS_401214,F,Test City,Teacher,Electronics,Middle Age,2,101,184579.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
,312.92,TRANS_611117,F,Test City,Clerk,Travel,Adult,1,101,85374.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
,193.84,TRANS_821259,M,New York,Nurse,Groceries,Adult,1,101,10189419.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
Linux,343.61,TRANS_844546,M,Houston,Clerk,Travel,Adult,1,101,5818313.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
macOS,50.17,TRANS_994769,F,New York,Engineer,,Adult,1,101,3372739.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
,163.32,TRANS_388096,F,Los Angeles,,Groceries,Middle Age,1,101,402740.0,-0.7818314824680299,0.6234898018587334,0.0,1.0
,284.65,TRANS_762599,M,Test City,Clerk,Groceries,Middle Age,1,101,73687.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
,464.7,TRANS_126857,M,Test City,Clerk,Apparel,Middle Age,1,101,42948.0,0.43388373911755823,-0.900968867902419,0.0,1.0
,322.53,TRANS_332310,M,Test City,Doctor,Apparel,Adult,2,101,396995.0,0.0,1.0,-1.0,-1.8369701987210297e-16
,368.98,TRANS_964881,M,Chicago,Nurse,Groceries,Young Adult,2,101,662617.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
other,47.03,TRANS_775785,F,Test City,Doctor,Groceries,Middle Age,3,101,30791.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
macOS,292.08,TRANS_198845,F,Test City,Clerk,Groceries,Young Adult,3,101,110069.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
macOS,373.97,TRANS_813648,F,Phoenix,Doctor,Travel,Middle Age,1,101,436343.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
macOS,124.09,TRANS_253406,F,Los Angeles,Artist,Apparel,Middle Age,1,100,0.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
other,230.17,TRANS_237194,M,Chicago,Clerk,Apparel,Young Adult,1,101,4471119.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
Windows,410.87,TRANS_177966,M,New York,Lawyer,Electronics,Middle Age,1,101,1228670.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
,210.44,TRANS_886411,F,Houston,Clerk,Electronics,Adult,1,101,3453335.0,0.43388373911755823,-0.900968867902419,0.0,1.0
Windows,96.74,TRANS_372624,M,Los Angeles,Clerk,Entertainment,Adult,1,101,8584504.0,0.0,1.0,1.2246467991473532e-16,-1.0
,408.18,TRANS_967522,M,Test City,Doctor,Groceries,Adult,1,101,55855.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
,286.18,TRANS_308822,F,Test City,Teacher,Apparel,Middle Age,2,101,4054.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
,18.41,TRANS_144836,M,Test City,Engineer,Travel,Adult,2,101,1648.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
,279.58,TRANS_140752,F,Test City,Teacher,Apparel,Middle Age,3,101,49265.0,0.0,1.0,0.0,1.0
,352.54,TRANS_461873,M,Test City,Lawyer,Groceries,Middle Age,1,101,204101.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
,449.92,TRANS_103061,M,Test City,Teacher,Electronics,Young Adult,1,101,26839.0,0.0,1.0,0.0,1.0
macOS,445.21,TRANS_414584,M,Test City,Clerk,,Middle Age,2,101,644358.0,0.0,1.0,-1.0,-1.8369701987210297e-16
,77.69,TRANS_620477,F,Phoenix,Engineer,Electronics,Young Adult,1,101,3494181.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
,60.84,TRANS_413864,F,Test City,Lawyer,Apparel,Young Adult,1,101,59824.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
Linux,392.82,TRANS_951794,M,Test City,Engineer,,Adult,2,101,58870.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
other,94.46,TRANS_444792,F,Test City,Clerk,Electronics,Adult,1,101,3729.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
